pop 75,pop 100,pop 125,pop 300,stack 40,stack 50,stack 60,stack 100,dif 0.1,dif 0.4,dif 0.7,dif 1.0,cross 0.4,cross 0.6,cross 0.8,cross 1.0,mut 0.4,mut 0.6,mut 0.8,mut 1.0
1.67E-05,1.56E-10,1.21E-04,1.86E-04,1.67E-05,1.56E-10,9.43E-05,1.86E-04,1.56E-10,1.67E-05,1.55E-05,4.25E-04,1.56E-10,1.67E-05,3.43E-11,9.41E-07,1.56E-10,1.67E-05,6.78E-10,4.85E-05
5.67E-05,1.38E-06,1.51E-04,2.08E-04,5.67E-05,1.38E-06,2.05E-04,2.08E-04,1.38E-06,5.67E-05,4.70E-04,4.77E-04,1.38E-06,5.67E-05,3.56E-07,5.54E-05,1.38E-06,5.67E-05,1.98E-05,1.24E-04
8.71E-05,7.01E-06,3.60E-04,3.94E-04,8.71E-05,7.01E-06,3.97E-04,3.94E-04,7.01E-06,8.71E-05,8.45E-04,5.00E-04,7.01E-06,8.71E-05,1.65E-05,7.39E-05,7.01E-06,8.71E-05,1.73E-04,2.02E-04
1.01E-04,1.12E-04,3.94E-04,3.96E-04,1.01E-04,1.12E-04,5.00E-04,3.96E-04,1.12E-04,1.01E-04,9.84E-04,8.99E-04,1.12E-04,1.01E-04,5.67E-05,2.35E-04,1.12E-04,1.01E-04,2.07E-04,3.05E-04
4.70E-04,1.25E-04,7.14E-04,3.99E-04,4.70E-04,1.25E-04,6.56E-04,3.99E-04,1.25E-04,4.70E-04,1.40E-03,9.38E-04,1.25E-04,4.70E-04,1.45E-04,5.00E-04,1.25E-04,4.70E-04,3.94E-04,3.71E-04
4.85E-05,6.78E-10,9.99E-07,4.15E-05,4.85E-05,6.78E-10,2.03E-05,4.15E-05,6.78E-10,4.85E-05,1.74E-04,1.03E-07,6.78E-10,4.85E-05,3.14E-11,1.25E-06,3.43E-11,9.41E-07,3.14E-11,1.25E-06
1.24E-04,1.98E-05,3.25E-05,2.44E-04,1.24E-04,1.98E-05,9.58E-05,2.44E-04,1.98E-05,1.24E-04,3.20E-04,4.25E-04,1.98E-05,1.24E-04,2.21E-05,3.15E-05,3.56E-07,5.54E-05,2.21E-05,3.15E-05
2.02E-04,1.73E-04,1.81E-04,2.70E-04,2.02E-04,1.73E-04,2.25E-04,2.70E-04,1.73E-04,2.02E-04,3.43E-04,4.49E-04,1.73E-04,2.02E-04,3.24E-04,8.47E-05,1.65E-05,7.39E-05,3.24E-04,8.47E-05
3.05E-04,2.07E-04,2.40E-04,2.44E-04,3.05E-04,2.07E-04,4.72E-04,2.44E-04,2.07E-04,3.05E-04,4.01E-04,5.37E-04,2.07E-04,3.05E-04,3.64E-04,4.10E-04,5.67E-05,2.35E-04,3.64E-04,4.10E-04
3.71E-04,3.94E-04,3.87E-04,2.70E-04,3.71E-04,3.94E-04,4.73E-04,2.70E-04,3.94E-04,3.71E-04,4.37E-04,1.42E-03,3.94E-04,3.71E-04,6.21E-04,5.00E-04,1.45E-04,5.00E-04,6.21E-04,5.00E-04
9.41E-07,3.43E-11,1.17E-06,4.16E-07,9.41E-07,3.43E-11,8.39E-05,4.16E-07,3.43E-11,9.41E-07,6.10E-06,2.24E-04,4.25E-04,1.55E-05,2.24E-04,6.10E-06,4.25E-04,1.55E-05,1.03E-07,1.74E-04
5.54E-05,3.56E-07,7.50E-05,3.18E-04,5.54E-05,3.56E-07,1.91E-04,3.18E-04,3.56E-07,5.54E-05,5.91E-05,2.74E-04,4.77E-04,4.70E-04,2.74E-04,5.91E-05,4.77E-04,4.70E-04,4.25E-04,3.20E-04
7.39E-05,1.65E-05,2.25E-04,3.71E-04,7.39E-05,1.65E-05,2.10E-04,3.71E-04,1.65E-05,7.39E-05,3.98E-04,4.70E-04,5.00E-04,8.45E-04,4.70E-04,3.98E-04,5.00E-04,8.45E-04,4.49E-04,3.43E-04
2.35E-04,5.67E-05,2.58E-04,3.87E-04,2.35E-04,5.67E-05,3.87E-04,3.87E-04,5.67E-05,2.35E-04,5.27E-04,4.78E-04,8.99E-04,9.84E-04,4.78E-04,5.27E-04,8.99E-04,9.84E-04,5.37E-04,4.01E-04
5.00E-04,1.45E-04,3.00E-04,4.72E-04,5.00E-04,1.45E-04,6.52E-04,4.72E-04,1.45E-04,5.00E-04,1.45E-03,9.39E-04,9.38E-04,1.40E-03,9.39E-04,1.45E-03,9.38E-04,1.40E-03,1.42E-03,4.37E-04
1.25E-06,3.14E-11,9.43E-06,1.84E-04,1.25E-06,3.14E-11,1.15E-06,1.84E-04,3.14E-11,1.25E-06,8.22E-05,1.47E-10,1.03E-07,1.74E-04,1.47E-10,8.22E-05,2.24E-04,6.10E-06,1.47E-10,8.22E-05
3.15E-05,2.21E-05,5.56E-05,1.97E-04,3.15E-05,2.21E-05,2.23E-04,1.97E-04,2.21E-05,3.15E-05,8.64E-05,6.66E-10,4.25E-04,3.20E-04,6.66E-10,8.64E-05,2.74E-04,5.91E-05,6.66E-10,8.64E-05
8.47E-05,3.24E-04,2.02E-04,2.10E-04,8.47E-05,3.24E-04,2.40E-04,2.10E-04,3.24E-04,8.47E-05,1.54E-04,8.30E-10,4.49E-04,3.43E-04,8.30E-10,1.54E-04,4.70E-04,3.98E-04,8.30E-10,1.54E-04
4.10E-04,3.64E-04,2.94E-04,3.71E-04,4.10E-04,3.64E-04,2.94E-04,3.71E-04,3.64E-04,4.10E-04,2.60E-04,6.93E-05,5.37E-04,4.01E-04,6.93E-05,2.60E-04,4.78E-04,5.27E-04,6.93E-05,2.60E-04
5.00E-04,6.21E-04,4.72E-04,4.50E-04,5.00E-04,6.21E-04,4.77E-04,4.50E-04,6.21E-04,5.00E-04,2.79E-04,1.22E-03,1.42E-03,4.37E-04,1.22E-03,2.79E-04,9.39E-04,1.45E-03,1.22E-03,2.79E-04
1.55E-05,4.25E-04,9.09E-06,1.26E-04,1.55E-05,4.25E-04,8.51E-05,1.26E-04,6.48E-05,9.43E-05,8.51E-05,3.17E-04,6.48E-05,9.43E-05,5.36E-05,8.39E-05,6.48E-05,9.43E-05,5.47E-05,2.03E-05
4.70E-04,4.77E-04,2.40E-04,2.55E-04,4.70E-04,4.77E-04,4.70E-04,2.55E-04,8.82E-05,2.05E-04,4.70E-04,3.57E-04,8.82E-05,2.05E-04,2.48E-04,1.91E-04,8.82E-05,2.05E-04,1.51E-04,9.58E-05
8.45E-04,5.00E-04,3.55E-04,4.70E-04,8.45E-04,5.00E-04,5.00E-04,4.70E-04,9.54E-05,3.97E-04,5.00E-04,5.98E-04,9.54E-05,3.97E-04,3.94E-04,2.10E-04,9.54E-05,3.97E-04,2.25E-04,2.25E-04
9.84E-04,8.99E-04,3.71E-04,9.38E-04,9.84E-04,8.99E-04,1.15E-03,9.38E-04,2.40E-04,5.00E-04,1.15E-03,7.22E-04,2.40E-04,5.00E-04,6.53E-04,3.87E-04,2.40E-04,5.00E-04,2.40E-04,4.72E-04
1.40E-03,9.38E-04,6.21E-04,9.38E-04,1.40E-03,9.38E-04,1.48E-03,9.38E-04,3.72E-04,6.56E-04,1.48E-03,1.27E-03,3.72E-04,6.56E-04,1.23E-03,6.52E-04,3.72E-04,6.56E-04,3.60E-04,4.73E-04
1.74E-04,1.03E-07,6.97E-07,3.55E-05,1.74E-04,1.03E-07,1.20E-04,3.55E-05,5.47E-05,2.03E-05,1.20E-04,5.08E-05,5.47E-05,2.03E-05,5.62E-05,1.15E-06,5.36E-05,8.39E-05,5.62E-05,1.15E-06
3.20E-04,4.25E-04,2.52E-04,3.16E-04,3.20E-04,4.25E-04,2.23E-04,3.16E-04,1.51E-04,9.58E-05,2.23E-04,1.51E-04,1.51E-04,9.58E-05,8.68E-05,2.23E-04,2.48E-04,1.91E-04,8.68E-05,2.23E-04
3.43E-04,4.49E-04,2.55E-04,3.30E-04,3.43E-04,4.49E-04,3.58E-04,3.30E-04,2.25E-04,2.25E-04,3.58E-04,2.56E-04,2.25E-04,2.25E-04,3.18E-04,2.40E-04,3.94E-04,2.10E-04,3.18E-04,2.40E-04
4.01E-04,5.37E-04,7.31E-04,4.76E-04,4.01E-04,5.37E-04,6.02E-04,4.76E-04,2.40E-04,4.72E-04,6.02E-04,4.71E-04,2.40E-04,4.72E-04,3.94E-04,2.94E-04,6.53E-04,3.87E-04,3.94E-04,2.94E-04
4.37E-04,1.42E-03,9.38E-04,1.07E-03,4.37E-04,1.42E-03,1.28E-03,1.07E-03,3.60E-04,4.73E-04,1.28E-03,8.41E-04,3.60E-04,4.73E-04,4.24E-04,4.77E-04,1.23E-03,6.52E-04,4.24E-04,4.77E-04
6.10E-06,2.24E-04,3.43E-04,6.38E-11,6.10E-06,2.24E-04,3.48E-04,6.38E-11,5.36E-05,8.39E-05,3.48E-04,6.13E-04,3.17E-04,8.51E-05,6.13E-04,3.48E-04,3.17E-04,8.51E-05,5.08E-05,1.20E-04
5.91E-05,2.74E-04,3.98E-04,7.12E-05,5.91E-05,2.74E-04,6.76E-04,7.12E-05,2.48E-04,1.91E-04,6.76E-04,7.31E-04,3.57E-04,4.70E-04,7.31E-04,6.76E-04,3.57E-04,4.70E-04,1.51E-04,2.23E-04
3.98E-04,4.70E-04,8.55E-04,2.47E-04,3.98E-04,4.70E-04,8.43E-04,2.47E-04,3.94E-04,2.10E-04,8.43E-04,1.29E-03,5.98E-04,5.00E-04,1.29E-03,8.43E-04,5.98E-04,5.00E-04,2.56E-04,3.58E-04
5.27E-04,4.78E-04,8.81E-04,3.62E-04,5.27E-04,4.78E-04,1.15E-03,3.62E-04,6.53E-04,3.87E-04,1.15E-03,1.45E-03,7.22E-04,1.15E-03,1.45E-03,1.15E-03,7.22E-04,1.15E-03,4.71E-04,6.02E-04
1.45E-03,9.39E-04,1.29E-03,4.91E-04,1.45E-03,9.39E-04,1.48E-03,4.91E-04,1.23E-03,6.52E-04,1.48E-03,1.55E-03,1.27E-03,1.48E-03,1.55E-03,1.48E-03,1.27E-03,1.48E-03,8.41E-04,1.28E-03
8.22E-05,1.47E-10,1.57E-10,6.38E-11,8.22E-05,1.47E-10,6.08E-05,6.38E-11,5.62E-05,1.15E-06,6.08E-05,7.91E-05,5.08E-05,1.20E-04,7.91E-05,6.08E-05,6.13E-04,3.48E-04,7.91E-05,6.08E-05
8.64E-05,6.66E-10,2.55E-04,3.01E-04,8.64E-05,6.66E-10,2.55E-04,3.01E-04,8.68E-05,2.23E-04,2.55E-04,9.70E-05,1.51E-04,2.23E-04,9.70E-05,2.55E-04,7.31E-04,6.76E-04,9.70E-05,2.55E-04
1.54E-04,8.30E-10,3.32E-04,4.40E-04,1.54E-04,8.30E-10,6.18E-04,4.40E-04,3.18E-04,2.40E-04,6.18E-04,9.85E-05,2.56E-04,3.58E-04,9.85E-05,6.18E-04,1.29E-03,8.43E-04,9.85E-05,6.18E-04
2.60E-04,6.93E-05,4.54E-04,5.17E-04,2.60E-04,6.93E-05,7.49E-04,5.17E-04,3.94E-04,2.94E-04,7.49E-04,5.66E-04,4.71E-04,6.02E-04,5.66E-04,7.49E-04,1.45E-03,1.15E-03,5.66E-04,7.49E-04
2.79E-04,1.22E-03,5.11E-04,6.13E-04,2.79E-04,1.22E-03,9.42E-04,6.13E-04,4.24E-04,4.77E-04,9.42E-04,1.04E-03,8.41E-04,1.28E-03,1.04E-03,9.42E-04,1.55E-03,1.48E-03,1.04E-03,9.42E-04
9.43E-05,6.48E-05,5.03E-05,3.46E-05,1.21E-04,1.27E-04,5.03E-05,1.12E-05,1.86E-04,1.21E-04,9.09E-06,1.26E-04,1.86E-04,1.21E-04,4.16E-07,1.17E-06,1.86E-04,1.21E-04,4.15E-05,9.99E-07
2.05E-04,8.82E-05,1.07E-04,3.59E-04,1.51E-04,2.40E-04,1.07E-04,1.94E-04,2.08E-04,1.51E-04,2.40E-04,2.55E-04,2.08E-04,1.51E-04,3.18E-04,7.50E-05,2.08E-04,1.51E-04,2.44E-04,3.25E-05
3.97E-04,9.54E-05,1.49E-04,3.95E-04,3.60E-04,2.63E-04,1.49E-04,2.02E-04,3.94E-04,3.60E-04,3.55E-04,4.70E-04,3.94E-04,3.60E-04,3.71E-04,2.25E-04,3.94E-04,3.60E-04,2.70E-04,1.81E-04
5.00E-04,2.40E-04,1.58E-04,4.47E-04,3.94E-04,2.97E-04,1.58E-04,2.53E-04,3.96E-04,3.94E-04,3.71E-04,9.38E-04,3.96E-04,3.94E-04,3.87E-04,2.58E-04,3.96E-04,3.94E-04,2.44E-04,2.40E-04
6.56E-04,3.72E-04,4.73E-04,5.00E-04,7.14E-04,5.00E-04,4.73E-04,4.10E-04,3.99E-04,7.14E-04,6.21E-04,9.38E-04,3.99E-04,7.14E-04,4.72E-04,3.00E-04,3.99E-04,7.14E-04,2.70E-04,3.87E-04
2.03E-05,5.47E-05,8.46E-05,2.02E-04,9.99E-07,3.14E-11,8.46E-05,1.57E-06,4.15E-05,9.99E-07,6.97E-07,3.55E-05,4.15E-05,9.99E-07,1.84E-04,9.43E-06,4.16E-07,1.17E-06,1.84E-04,9.43E-06
9.58E-05,1.51E-04,2.47E-04,2.93E-04,3.25E-05,5.47E-05,2.47E-04,3.09E-06,2.44E-04,3.25E-05,2.52E-04,3.16E-04,2.44E-04,3.25E-05,1.97E-04,5.56E-05,3.18E-04,7.50E-05,1.97E-04,5.56E-05
2.25E-04,2.25E-04,2.70E-04,3.06E-04,1.81E-04,5.48E-05,2.70E-04,3.65E-05,2.70E-04,1.81E-04,2.55E-04,3.30E-04,2.70E-04,1.81E-04,2.10E-04,2.02E-04,3.71E-04,2.25E-04,2.10E-04,2.02E-04
4.72E-04,2.40E-04,3.96E-04,3.15E-04,2.40E-04,1.10E-04,3.96E-04,1.78E-04,2.44E-04,2.40E-04,7.31E-04,4.76E-04,2.44E-04,2.40E-04,3.71E-04,2.94E-04,3.87E-04,2.58E-04,3.71E-04,2.94E-04
4.73E-04,3.60E-04,4.87E-04,4.59E-04,3.87E-04,1.98E-04,4.87E-04,2.17E-04,2.70E-04,3.87E-04,9.38E-04,1.07E-03,2.70E-04,3.87E-04,4.50E-04,4.72E-04,4.72E-04,3.00E-04,4.50E-04,4.72E-04
8.39E-05,5.36E-05,6.00E-06,5.00E-04,1.17E-06,3.10E-11,6.00E-06,8.07E-05,4.16E-07,1.17E-06,3.43E-04,6.38E-11,1.26E-04,9.09E-06,6.38E-11,3.43E-04,1.26E-04,9.09E-06,3.55E-05,6.97E-07
1.91E-04,2.48E-04,2.22E-04,5.00E-04,7.50E-05,2.10E-08,2.22E-04,1.28E-04,3.18E-04,7.50E-05,3.98E-04,7.12E-05,2.55E-04,2.40E-04,7.12E-05,3.98E-04,2.55E-04,2.40E-04,3.16E-04,2.52E-04
2.10E-04,3.94E-04,3.87E-04,6.33E-04,2.25E-04,2.29E-06,3.87E-04,2.36E-04,3.71E-04,2.25E-04,8.55E-04,2.47E-04,4.70E-04,3.55E-04,2.47E-04,8.55E-04,4.70E-04,3.55E-04,3.30E-04,2.55E-04
3.87E-04,6.53E-04,4.37E-04,6.56E-04,2.58E-04,3.36E-04,4.37E-04,3.18E-04,3.87E-04,2.58E-04,8.81E-04,3.62E-04,9.38E-04,3.71E-04,3.62E-04,8.81E-04,9.38E-04,3.71E-04,4.76E-04,7.31E-04
6.52E-04,1.23E-03,1.35E-03,1.18E-03,3.00E-04,5.00E-04,1.35E-03,4.98E-04,4.72E-04,3.00E-04,1.29E-03,4.91E-04,9.38E-04,6.21E-04,4.91E-04,1.29E-03,9.38E-04,6.21E-04,1.07E-03,9.38E-04
1.15E-06,5.62E-05,1.46E-04,2.36E-04,9.43E-06,1.44E-04,1.46E-04,3.55E-05,1.84E-04,9.43E-06,1.57E-10,6.38E-11,3.55E-05,6.97E-07,6.38E-11,1.57E-10,6.38E-11,3.43E-04,6.38E-11,1.57E-10
2.23E-04,8.68E-05,2.15E-04,4.36E-04,5.56E-05,1.91E-04,2.15E-04,2.22E-04,1.97E-04,5.56E-05,2.55E-04,3.01E-04,3.16E-04,2.52E-04,3.01E-04,2.55E-04,7.12E-05,3.98E-04,3.01E-04,2.55E-04
2.40E-04,3.18E-04,5.00E-04,4.79E-04,2.02E-04,1.99E-04,5.00E-04,2.94E-04,2.10E-04,2.02E-04,3.32E-04,4.40E-04,3.30E-04,2.55E-04,4.40E-04,3.32E-04,2.47E-04,8.55E-04,4.40E-04,3.32E-04
